internet,computer,wealth,mean_TestScore
no,yes,-0.236446996,581.5753333
yes,yes,1.465453489,521.8736667
yes,yes,1.219011043,537.8056667
yes,yes,0.996898902,487.1463333
yes,yes,1.792735335,560.485
yes,yes,1.231917441,534.504
yes,no,-0.355831181,444.2573333
yes,yes,1.757940383,585.2026667
yes,yes,2.139812806,534.436
yes,yes,1.216743703,534.679
yes,yes,2.115220885,549.3196667
yes,yes,0.199231157,445.4693333
yes,yes,1.332203645,573.949
yes,yes,1.370050787,541.2393333
yes,yes,0.350706927,571.688
yes,yes,1.296798255,544.4603333
yes,yes,2.190566346,530.599
no,yes,0.108188724,631.8723333
yes,yes,1.258951114,483.103
yes,yes,0.888764213,537.152
yes,no,-0.289555081,503.1313333
yes,yes,1.810002003,534.5713333
no,yes,-0.298537237,556.6773333
yes,yes,2.42340475,562.887
yes,yes,2.103884184,489.352
yes,no,2.875128695,551.6373333
yes,yes,1.769277084,535.378
yes,yes,1.757155534,511.2716667
no,no,-0.118894123,464.813
yes,yes,1.521439352,570.014
yes,yes,1.472604331,545.7056667
yes,yes,0.639531195,409.2526667
yes,yes,1.86781918,522.9133333
no,yes,0.186499169,401.3826667
yes,no,0.260885371,568.0826667
yes,yes,0.350706927,491.2416667
no,no,-0.253888075,529.6086667
yes,yes,1.388799947,567.2763333
yes,yes,1.753492907,505.541
yes,yes,1.950053867,585.7603333
yes,yes,1.370050787,563.8986667
yes,no,0.434511312,491.8753333
yes,yes,0.760397872,467.125
yes,yes,0.442708619,525.3193333
yes,yes,1.603150807,473.5043333
yes,no,-0.052618023,538.923
no,yes,-0.236446996,574.4193333
no,yes,0.23742712,465.5066667
yes,yes,2.085832667,530.0453333
no,no,0.552064184,518.954
no,no,0.345212987,446.716
yes,yes,0.250071902,469.7396667
no,no,-1.393662584,510.089
no,no,-0.46265779,492.331
yes,yes,0.350706927,451.417
yes,yes,0.350706927,558.6306667
yes,yes,0.159552702,504.839
yes,yes,0.196789406,432.9536667
yes,no,-0.769097547,470.9956667
yes,yes,1.028903282,478.4693333
yes,no,0.610579004,546.3563333
yes,yes,1.718872366,477.9053333
yes,yes,0.192516341,513.3943333
yes,no,0.878473976,496.922
yes,no,-0.780085427,393.9
yes,no,-0.286328481,421.2063333
yes,yes,0.249635875,579.1506667
yes,yes,1.41164776,438.9543333
yes,no,-0.070582335,466.2453333
yes,yes,0.049412288,496.331
no,no,-1.177044384,518.5176667
no,yes,-0.140695472,530.4263333
no,yes,-0.269759456,439.9326667
yes,yes,0.691854432,560.9993333
yes,no,0.170889403,367.4453333
yes,yes,0.43416249,495.344
yes,yes,-0.109475941,484.941
yes,yes,1.751574389,599.6886667
no,yes,-1.393662584,280.4556667
no,no,-1.710130962,262.7896667
no,no,-0.791596539,236.9876667
no,no,-4.190252389,331.6753333
yes,no,-1.083734611,388.1196667
no,no,-1.393662584,392.531
no,no,-0.491609981,426.2963333
yes,no,-0.702908652,335.3793333
no,no,-0.877145031,346.191
no,no,-1.393662584,381.016
yes,no,0.297337226,436.104
yes,no,-0.497016715,436.885
yes,no,-0.78627701,386.9746667
no,no,-0.877145031,331.0086667
yes,no,-0.643783395,381.411
no,no,-0.589541639,439.5056667
no,no,-0.877145031,372.031
no,no,0.212137555,386.3756667
yes,no,-0.39202142,439.564
yes,no,-0.940020121,420.8603333
no,no,-0.491609981,358.4686667
no,no,-0.998098913,325.9336667
no,no,-0.998098913,432.9563333
no,no,-0.728023806,405.2483333
no,no,-1.357908372,403.434
no,no,-0.728023806,414.9986667
yes,no,-0.940020121,353.7346667
yes,no,-0.940020121,379.5256667
yes,no,0.802430872,381.1503333
yes,no,-0.284235552,316.4263333
no,no,-0.877145031,361.822
no,yes,-0.236446996,398.387
no,no,-1.393662584,338.6573333
no,no,-0.118894123,426.0146667
no,yes,-1.199368965,448.515
no,no,-0.781219097,343.6696667
no,yes,-1.393662584,290.798
no,no,-1.177044384,432.0446667
no,no,-0.295833869,387.511
no,no,-0.371876974,534.8423333
yes,no,-0.193018709,487.1226667
yes,yes,2.006824579,513.981
yes,yes,0.384281004,494.175
yes,yes,1.832675406,473.799
yes,yes,1.283804651,440.7186667
yes,yes,0.778972621,476.9166667
yes,no,-0.169037225,453.0666667
yes,yes,0.481166198,474.7863333
no,yes,-0.35679044,512.626
no,yes,0.847254445,486.0353333
no,no,-1.393662584,476.506
yes,yes,0.595143649,483.671
no,yes,-0.246126794,410.351
no,no,-0.911155135,486.4493333
yes,no,-0.270980332,506.3373333
yes,no,0.479596501,441.5993333
no,yes,0.093451013,514.993
yes,yes,0.371636222,493.8986667
no,yes,-0.035612971,506.03
yes,yes,0.490148354,416.0113333
no,no,-0.223802213,477.3586667
no,yes,-0.524748031,497.8556667
no,yes,-0.264527133,369.5393333
no,no,-0.045554386,481.9386667
yes,yes,0.302569549,490.7836667
yes,yes,1.240550775,411.2066667
yes,yes,0.155541254,447.205
yes,yes,1.656171687,477.9693333
yes,yes,0.384281004,482.2416667
yes,yes,0.155541254,471.0123333
yes,yes,0.765804606,449.68
no,no,-1.191171657,458.601
no,yes,0.972481392,495.58
yes,yes,0.77975747,456.874
yes,yes,-0.002474921,484.2586667
yes,yes,0.655751398,446.452
yes,yes,0.80966892,424.6063333
yes,yes,0.138797818,507.9073333
no,no,-1.177044384,375.6293333
yes,yes,1.151252451,325.3843333
no,no,-0.877145031,375.1573333
no,no,-0.760202597,407.8906667
no,no,-0.739796534,367.9776667
no,no,0.201672908,376.0736667
no,no,-0.583611672,318.1103333
no,no,-0.877145031,351.259
no,no,-0.610296523,355.923
no,yes,-1.464211748,339.857
yes,yes,1.002131226,265.5246667
yes,no,-0.075640248,415.037
no,yes,0.121269534,329.7483333
no,no,-0.911155135,284.8413333
no,no,-0.784358491,332.0433333
yes,yes,0.861643335,320.2596667
